brand,stars,reviewsCount,Category,price/value
ZEBSTER,3.5,49.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,506.0
CrossBeats,4.1,603.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",3498.0
BOSTON LEVIN,4.1,152.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",1199.0
Cranique,4.4,23.0,Video Games › PlayStation 5 › Accessories › Cases & Storage › Cases,251.0
VYBE,1.0,1.0,Home & Kitchen › Large Appliances › Refrigerators,4449.0
Samsung,4.5,248.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,69999.0
ThrustMaster,4.5,4627.0,Video Games › PC Games › Accessories › Controllers › Flight Controls,15990.0
Lenovo,4.1,76.0,Computers & Accessories › Laptops › Traditional Laptops,62494.0
MX,3.7,25.0,Electronics › Home Audio › Speakers › Multimedia Speaker Systems,9900.0
Amazon basics,3.5,94.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1699.0
SAMSUNG,4.0,25.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,50993.0
Sonos,4.4,9.0,Electronics › Home Audio › Speakers › Multimedia Speaker Systems,32998.25
Talabat,3.7,13.0,Toys & Games › Electronic Toys › Handheld Games,899.0
2&CO,5.0,1.0,Video Games › PlayStation 5,36990.0
Mabron,5.0,1.0,Toys & Games › Electronic Toys › Handheld Games,799.0
SANSUI,3.9,219.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",17990.0
Motorola,3.5,337.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,44999.0
SHOKZ,4.5,2637.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Open-Ear Headphones",17999.0
VYBE,3.0,20.0,Home & Kitchen › Large Appliances › Refrigerators,4849.0
Microsoft,3.0,4.0,Computers & Accessories › Laptops › Traditional Laptops,95999.0
Xiaomi,4.0,810.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,11499.0
